date,team,away,at_bats,runs,hits,rbis,walks,batting_average,on_base_percentage,slugging_percentage,win
20190320,SEA,1,31,9,7,9,6,0.163,0.438,0.317,1
20190320,OAK,0,9,7,6,3,8,0.263,0.304,0.496,0
20190320,DET,1,29,3,4,3,4,0.18,0.27,0.303,1
20190320,PHI,0,30,1,6,0,2,0.157,0.213,0.263,0
20190320,MIA,1,38,6,11,5,5,0.198,0.244,0.31,1
20190320,STL,0,28,0,3,0,0,0.128,0.164,0.202,0
20190320,NYY,1,30,1,4,1,5,0.247,0.326,0.456,0
20190320,HOU,0,30,2,6,1,4,0.248,0.339,0.459,1
20190320,PIT,1,34,6,10,5,5,0.17,0.227,0.229,1
20190320,MIN,0,36,5,11,5,1,0.278,0.322,0.538,0
20190320,ATL,1,35,8,9,8,4,0.139,0.189,0.235,1
20190320,TOR,0,31,7,6,7,9,0.258,0.382,0.444,0
20190320,ARI,1,43,11,16,11,4,0.261,0.321,0.468,1
20190320,CHW,0,29,2,5,2,0,0.232,0.298,0.324,0
20190320,CIN,1,36,6,11,5,6,0.198,0.257,0.341,1
20190320,TEX,0,31,1,6,1,3,0.204,0.308,0.311,0
20190320,MIL,1,37,10,13,10,2,0.157,0.217,0.299,1
20190320,SD,0,37,7,10,7,3,0.185,0.228,0.319,0
20190320,BOS,1,33,6,8,2,4,0.25,0.301,0.353,1
20190320,BAL,0,34,4,10,4,1,0.268,0.327,0.424,0
20190320,LAA,1,34,2,8,2,1,0.189,0.248,0.374,0
20190320,CLE,0,30,4,8,4,1,0.167,0.26,0.258,1
20190320,KC,1,32,8,8,8,4,0.271,0.347,0.446,1
20190320,COL,0,37,7,12,6,4,0.238,0.301,0.484,0
20190320,LAD,1,35,4,10,4,3,0.23,0.267,0.413,0
20190320,CHC,0,33,4,7,2,5,0.206,0.275,0.34,1
20190320,CLE,1,29,0,4,0,4,0.211,0.251,0.385,0
20190320,SF,0,40,13,16,13,2,0.219,0.25,0.301,1
20190321,SEA,1,43,5,9,5,5,0.159,0.246,0.328,1
20190321,OAK,0,10,4,3,6,10,0.173,0.252,0.277,0
20190321,ATL,1,34,1,10,1,1,0.23,0.264,0.318,0
20190321,TB,0,31,8,9,8,4,0.195,0.261,0.355,1
20190321,BAL,1,32,5,7,5,4,0.225,0.296,0.355,0
20190321,PIT,0,28,7,7,7,4,0.232,0.272,0.464,1
20190321,HOU,1,34,3,7,3,3,0.212,0.306,0.341,0
20190321,DET,0,31,5,6,5,6,0.249,0.312,0.42,1
20190321,NYY,1,30,3,6,3,4,0.234,0.304,0.433,0
20190321,STL,0,37,11,14,11,2,0.213,0.254,0.365,1
